Player,Team,G,AB,PA,R,H,1B,2B,3B,HR,RBI,TBB,Avg,Slg,Obp.,HBP,SB,SH/B,SF,Int,K,CS,SB%
Enrique Salas,Piratas,7,25,28,10,14,11,3,0,0,7,1,560,680,536,0,1,0,2,0,0,1,500
Oliver Martinez,Piratas,7,13,23,4,7,6,1,0,0,3,8,538,615,696,1,0,0,1,0,2,0,0
Julio Ramirez,Cuba,8,30,34,15,16,7,7,1,1,14,3,533,933,588,1,3,0,0,0,3,0,1000
Conrado Perez,Caimaneros,6,20,21,5,10,8,2,0,0,7,1,500,600,524,0,0,0,0,0,6,0,0
Oscar Garcia,Cuba,7,25,27,7,12,10,2,0,0,4,2,480,560,519,0,1,0,0,0,3,0,1000
Asday Juvier,Cuba,8,22,33,14,9,7,0,1,1,12,8,409,636,576,2,4,0,1,0,3,1,800
Héctor Smith,Caimaneros,7,22,24,8,9,6,2,1,0,7,1,409,591,458,1,2,0,0,0,1,0,1000
Ramón Piedra,Marlins,7,10,18,7,4,4,0,0,0,0,7,400,400,647,0,4,1,0,0,2,1,800
Hancel Garcia,Sto Domingo,9,25,32,8,9,9,0,0,0,1,7,360,360,500,0,5,0,0,0,5,2,714
Evan Smith,Giants,6,17,21,5,6,3,3,0,0,7,4,353,529,476,0,0,0,0,0,4,1,0
Ernesto Montecinos,Cuba,8,17,21,5,6,5,1,0,0,5,3,353,412,429,0,4,0,1,0,2,0,1000
Andrés Garcés,Cuba,9,23,30,3,8,6,2,0,0,10,3,348,435,500,4,1,0,0,0,6,0,1000
Iván Lastra,Piratas,6,15,20,5,5,1,4,0,0,6,3,333,600,500,2,0,0,0,0,2,1,0
Juan Andrés Veras,Piratas,7,25,26,7,8,5,1,2,0,6,1,320,520,346,0,2,0,0,0,2,0,1000
Leonardo Toledo,Piratas,6,16,20,3,5,5,0,0,0,4,3,313,313,450,1,1,0,0,0,3,0,1000
Alberto Góngora,Cuba,8,20,28,9,6,5,1,0,0,2,5,300,350,444,1,3,1,1,0,0,0,1000
Leo Valenzuela,Giants,7,20,25,6,6,5,1,0,0,2,5,300,350,440,0,4,0,0,0,3,0,1000
Pedro Pedrique,Caimaneros,8,17,20,3,5,3,2,0,0,3,3,294,412,400,0,0,0,0,0,6,0,0
Kavel Mena,Cuba,8,21,26,7,6,5,1,0,0,3,3,286,333,423,2,3,0,0,0,5,1,750
Pedro Alfonso,Cuba,9,25,34,10,7,7,0,0,0,1,7,280,280,438,0,4,2,0,0,7,0,1000
Michael Villamán,Marlins,8,15,22,6,4,3,1,0,0,1,1,267,333,500,6,0,0,0,0,3,1,0
Carlos Duque,Cuba,9,23,29,7,6,5,1,0,0,5,4,261,304,357,0,3,1,1,0,1,0,1000
Daniel Ferrat,Cuba,6,16,20,6,4,4,0,0,0,0,3,250,250,400,1,2,0,0,0,4,1,667
Jackson Marciales,Caimaneros,8,18,20,3,4,3,1,0,0,1,2,222,278,300,0,2,0,0,0,3,0,1000
Ives Cubillos,Giants,7,14,20,2,3,3,0,0,0,3,6,214,214,450,0,0,0,0,0,5,0,0
Jonathan Castro,Marlins,8,19,26,6,4,3,1,0,0,3,3,211,263,423,4,2,0,0,0,2,1,667
Brent Harrison,Giants,7,19,24,7,4,4,0,0,0,6,5,211,211,375,0,3,0,0,0,4,1,750
Juan Rodriguez,Sto Domingo,8,21,28,7,4,4,0,0,0,3,6,190,190,393,1,9,0,0,0,4,0,1000
Felipe Romero,Piratas,7,17,24,6,3,3,0,0,0,3,7,176,176,417,0,3,0,0,0,6,0,1000
Victor Reyes,Marlins,7,18,24,5,3,3,0,0,0,4,6,167,167,375,0,7,0,0,0,6,0,1000
Junior Arias,Sto Domingo,9,19,20,2,3,2,1,0,0,2,0,158,211,200,1,2,0,0,0,1,1,667
Fernando Romero,Piratas,5,15,18,3,2,1,0,1,0,1,1,133,267,278,2,0,0,0,0,1,0,0
Gregorio Mora,Marlins,7,11,18,5,0,0,0,0,0,0,6,0,0,389,1,0,0,0,0,9,0,0
Javier Vargas,Marlins,6,12,17,3,2,1,1,0,0,6,3,167,250,294,0,2,0,2,0,2,0,1000
Jancer Del Orbe,Marlins,6,17,17,1,4,3,1,0,0,4,0,235,294,235,0,2,0,0,0,0,0,1000
Jorge Rivero,Caimaneros,7,13,17,1,1,1,0,0,0,1,2,77,77,250,1,0,1,0,0,5,0,0
Ricardo Avalos,Piratas,6,14,17,3,5,5,0,0,0,1,3,357,357,471,0,1,0,0,0,3,0,1000
Brien Shanahan,Giants,5,13,17,4,3,3,0,0,0,2,1,231,231,375,2,1,1,0,0,5,0,1000
Nathan Young,Giants,5,9,17,4,2,0,2,0,0,2,7,222,444,529,0,3,0,1,0,2,0,1000
Kir Pastre,Giants,5,11,17,4,4,4,0,0,0,1,5,364,364,563,0,5,1,0,0,0,1,833
Daniel León,Caimaneros,5,9,16,5,4,4,0,0,0,0,6,444,444,688,1,1,0,0,0,0,0,1000
Henry Talavera,Piratas,5,9,16,4,3,2,0,0,1,4,4,333,667,563,2,0,0,1,0,1,0,0
Kevin Munger,Giants,5,11,16,4,3,3,0,0,0,3,4,273,273,500,1,1,0,0,0,0,0,1000
Omar Salas,Sto Domingo,7,11,16,2,1,1,0,0,0,0,4,91,91,375,1,3,0,0,0,3,0,1000
Lazaro Montey,Sto Domingo,5,12,16,2,2,2,0,0,0,1,3,167,167,313,0,2,0,1,0,1,0,1000
Albenis Torres,Caimaneros,7,13,15,1,4,4,0,0,0,3,0,308,308,400,2,0,0,0,0,2,0,0
Branly Cil,Sto Domingo,5,12,15,4,2,2,0,0,0,0,3,167,167,333,0,4,0,0,0,5,0,1000
Armando de Sousa,Caimaneros,6,10,14,3,2,2,0,0,0,1,3,200,200,357,0,1,0,1,0,4,0,1000
Serio Torín,Caimaneros,5,7,14,2,2,2,0,0,0,2,6,286,286,643,1,3,0,0,0,2,0,1000
Juan Olivas,Piratas,4,8,14,3,4,1,2,1,0,3,4,500,1000,714,2,0,0,0,0,0,0,0
Diogenes Vargas,Sto Domingo,8,9,14,3,2,2,0,0,0,0,5,222,222,500,0,2,0,0,0,3,0,1000
Wladimir Noriega,Marlins,5,11,13,2,4,4,0,0,0,1,2,364,364,462,0,4,0,0,0,2,0,1000
Alfredo Sanz,Caimaneros,7,13,13,0,2,2,0,0,0,0,0,154,154,154,0,0,0,0,0,3,0,0
Alex Ibarra,Caimaneros,7,10,13,3,2,2,0,0,0,1,3,200,200,385,0,0,0,0,0,6,0,0
Luis Angueira,Sto Domingo,7,8,12,2,2,2,0,0,0,0,4,250,250,500,0,1,0,0,0,1,0,1000
Jordan Ramirez,Sto Domingo,5,12,12,1,3,2,1,0,0,4,0,250,333,250,0,0,0,0,0,2,0,0
Guillermo Constancio,Marlins,7,9,11,2,1,0,1,0,0,1,2,111,222,273,0,1,0,0,0,5,0,1000
Luciano Morales,Caimaneros,8,9,11,2,3,2,1,0,0,2,2,333,444,455,0,0,0,0,0,3,0,0
José Carrasco Riera,Caimaneros,4,9,11,4,5,4,1,0,0,3,2,556,667,636,0,0,0,0,0,0,0,0
Francisco Placencio,Sto Domingo,3,6,11,0,1,1,0,0,0,2,3,167,167,455,1,0,0,1,0,2,0,0
Diego Jerez,Marlins,7,5,10,3,1,1,0,0,0,1,4,200,200,500,0,0,0,1,0,1,0,0
Robert Schroll,Giants,4,9,10,2,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,5,0,0
Manuel Mateo,Sto Domingo,3,7,10,2,0,0,0,0,0,1,2,0,0,300,1,1,0,0,0,3,0,1000
Hans Luttecke,Marlins,5,5,9,0,1,1,0,0,0,1,2,200,200,556,2,1,0,0,0,4,1,500
Esloydys Vargas,Marlins,5,7,9,1,0,0,0,0,0,1,2,0,0,222,0,1,0,0,0,1,0,1000
Alfredo Pedrón,Caimaneros,5,7,9,2,1,1,0,0,0,0,1,143,143,250,0,1,1,0,0,3,0,1000
Dave Griffith,Giants,3,8,9,2,4,4,0,0,0,2,1,500,500,556,0,1,0,0,0,3,0,1000
Braily Compres,Sto Domingo,3,6,9,2,1,0,0,1,0,2,2,167,500,444,1,1,0,0,0,2,0,1000
Thomas Smith,Piratas,2,6,8,1,1,1,0,0,0,1,2,167,167,375,0,0,0,0,0,0,0,0
Miguel Espinoza,Sto Domingo,5,7,8,1,2,2,0,0,0,2,1,286,286,375,0,0,0,0,0,1,0,0
Richard Jimenez,Caimaneros,7,5,7,0,1,1,0,0,0,1,2,200,200,429,0,0,0,0,0,3,0,0
Jesus Serrano,Cuba,4,5,7,1,0,0,0,0,0,0,1,0,0,286,1,0,0,0,0,3,1,0
Isaac Wilding,Giants,5,7,7,0,1,1,0,0,0,0,0,143,143,143,0,0,0,0,0,5,0,0
Antonio Salas,Sto Domingo,4,4,7,0,0,0,0,0,0,0,3,0,0,429,0,0,0,0,0,0,1,0
Hector Olivero,Sto Domingo,4,4,7,2,1,1,0,0,0,0,3,250,250,571,0,2,0,0,0,2,0,1000
Fernando Arias,Sto Domingo,4,7,7,0,2,2,0,0,0,0,0,286,286,286,0,0,0,0,0,3,1,0
Antonio Vergara,Piratas,6,6,6,1,1,1,0,0,0,0,0,167,167,167,0,0,0,0,0,2,0,0
Ramsés Ruiz,Cuba,6,4,6,2,1,1,0,0,0,0,2,250,250,500,0,2,0,0,0,2,0,1000
Max Guerra,Giants,2,4,6,0,0,0,0,0,0,1,2,0,0,333,0,0,0,0,0,4,0,0
Natanai Roa,Sto Domingo,6,3,6,2,1,1,0,0,0,1,3,333,333,667,0,1,0,0,0,1,0,1000
Carlos Olivero,Sto Domingo,6,4,6,1,1,1,0,0,0,1,2,250,250,500,0,0,0,0,0,2,0,0
Cristofer Feliz,Marlins,5,5,5,0,1,0,1,0,0,0,0,200,400,200,0,0,0,0,0,3,0,0
Samuel Jaque,Piratas,1,4,5,1,1,1,0,0,0,1,1,250,250,400,0,0,0,0,0,0,0,0
Anthony Medrano,Giants,2,4,5,0,1,0,0,1,0,1,1,250,750,400,0,0,0,0,0,0,0,0
Etanislao Guzmán,Sto Domingo,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Omar Morla,Sto Domingo,2,4,5,1,0,0,0,0,0,0,1,0,0,200,0,0,0,0,0,1,0,0
Alejandro Reyes,Marlins,2,2,4,0,0,0,0,0,0,0,2,0,0,500,0,1,0,0,0,2,0,1000
Luis Jimenez,Marlins,2,4,4,0,1,1,0,0,0,1,0,250,250,250,0,0,0,0,0,3,0,0
Jairo Manzanillo,Marlins,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Ricardo Andarcia,Piratas,1,2,4,1,0,0,0,0,0,0,0,0,0,500,2,0,0,0,0,2,0,0
José Carrasco A.,Cuba,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arturo Arranz,Cuba,2,3,4,0,0,0,0,0,0,0,1,0,0,250,0,0,0,0,0,3,0,0
David Mills,Giants,3,4,4,0,1,1,0,0,0,0,0,250,250,250,0,0,0,0,0,2,0,0
Edmundo Garcia,Giants,1,3,4,1,1,1,0,0,0,1,1,333,333,500,0,0,0,0,0,1,0,0
Martin Ferreira,Sto Domingo,3,3,4,0,0,0,0,0,0,0,1,0,0,250,0,0,0,0,0,1,0,0
Franco Roncagliolo,Marlins,7,3,3,0,1,1,0,0,0,1,0,333,333,333,0,0,0,0,0,1,0,0
José Flores,Caimaneros,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Thomas Salas,Piratas,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Jordan Duran,Sto Domingo,1,3,3,0,1,1,0,0,0,1,0,333,333,333,0,0,0,0,0,2,1,0
Rafael Peña,Marlins,3,2,2,0,1,1,0,0,0,2,0,500,500,500,0,0,0,0,0,1,0,0
Melvin Plujimers,Marlins,3,2,2,0,1,1,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0
Gustavo Castellanos,Caimaneros,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jairo Espinosa,Cuba,2,2,2,0,1,0,1,0,0,2,0,500,1000,500,0,0,0,0,0,0,0,0
Gabriel Perez,Cuba,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Shaun Sheffield,Giants,1,2,2,0,1,1,0,0,0,1,0,500,500,500,0,1,0,0,0,0,0,1000
Geoff Hendricks,Giants,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erick Hartmann,Giants,1,1,2,0,0,0,0,0,0,0,1,0,0,500,0,0,0,0,0,1,0,0
Ruben Rosa,Sto Domingo,2,0,2,0,0,0,0,0,0,0,2,0,0,1000,0,0,0,0,0,0,0,0
Maickel Prieto,Caimaneros,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir Hernandez,Cuba,7,0,1,1,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0
Pablo Guerra,Giants,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Abreu,Sto Domingo,6,0,1,0,0,0,0,0,0,0,1,0,0,1000,0,0,0,0,0,0,0,0
Michael Santana,Marlins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patricio Morales M.,Piratas,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Perdomo,Cuba,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Brown,Giants,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Sanchez,Sto Domingo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
